title,authors,original_publication_year
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,"Malala Yousafzai, Christina Lamb",2012
Mansfield Park,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",1814
Man's Search for Meaning,Viktor E. Frankl,1946
"In the Woods (Dublin Murder Squad, #1)",Tana French,2007
The God Delusion,Richard Dawkins,2006
"Where She Went (If I Stay, #2)",Gayle Forman,2011
The World According to Garp,John Irving,1978
"Killing Floor (Jack Reacher, #1)",Lee Child,1997
Robinson Crusoe,"Daniel Defoe, Gerald McCann, Virginia Woolf",1719
The Prince,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",1513
"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,2000
"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,1994
The Kitchen House,Kathleen Grissom,2010
Franny and Zooey,J.D. Salinger,1961
Choke,Chuck Palahniuk,2001
The Brothers Karamazov,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",1880
"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,2003
The Andromeda Strain,Michael Crichton,1969
The Green Mile,Stephen King,1996
The Prophet,Kahlil Gibran,1923
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,1985
"Untamed (House of Night, #4)","P.C. Cast, Kristin Cast",2008
"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,1986
Mere Christianity,C.S. Lewis,1952
The Secret History,Donna Tartt,1992
A Heartbreaking Work of Staggering Genius,Dave Eggers,2000
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,1980
Black Beauty,Anna Sewell,1877
War and Peace,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869
American Psycho,Bret Easton Ellis,1991
"The Princess Diaries (The Princess Diaries, #1)",Meg Cabot,2000
"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,1998
"The Walking Dead, Vol. 01: Days Gone Bye","Robert Kirkman, Tony Moore",2004
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,1968
Redeeming Love,Francine Rivers,1991
"Left Behind (Left Behind, #1)","Tim LaHaye, Jerry B. Jenkins",1995
"The One (The Selection, #3)",Kiera Cass,2014
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,2010
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2001
Remember Me?,Sophie Kinsella,2008
"The Great Hunt (Wheel of Time, #2)",Robert Jordan,1990
"Postmortem (Kay Scarpetta, #1)",Patricia Cornwell,1990
The Complete Stories and Poems,Edgar Allan Poe,1849
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",1971
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892
The Prince of Tides,Pat Conroy,1986
The Amazing Adventures of Kavalier & Clay,Michael Chabon,2000
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,2008
Peter Pan,"J.M. Barrie, Michael Hague",1904
"Pretties (Uglies, #2)",Scott Westerfeld,2005
The Wind-Up Bird Chronicle,"Haruki Murakami, Jay Rubin",1994
"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",Michael Connelly,2005
Cloud Atlas,David Mitchell,2004
The Things They Carried,Tim O'Brien,1990
Wall and Piece,Banksy,1988
"Pandemonium (Delirium, #2)",Lauren Oliver,2012
"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,2004
"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,2002
"The Dragon Reborn (Wheel of Time, #3)",Robert Jordan,1991
Gulliver's Travels,"Jonathan Swift, Robert DeMaria Jr.",1726
Much Ado About Nothing,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",1598
Beowulf,"Unknown, Seamus Heaney",975
Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",1987
Go Set a Watchman,Harper Lee,2015
When You Are Engulfed in Flames,David Sedaris,2008
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,2011
"Red Queen (Red Queen, #1)",Victoria Aveyard,2015
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,2011
Midnight in the Garden of Good and Evil,John Berendt,1994
"Hopeless (Hopeless, #1)",Colleen Hoover,2012
A Little Princess,"Frances Hodgson Burnett, Nancy Bond",1905
The Truth About Forever,Sarah Dessen,2004
"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,1954
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,2010
"Little House on the Prairie (Little House, #2)","Laura Ingalls Wilder, Garth Williams",1935
The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",1922
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,1974
The War of the Worlds,"H.G. Wells, Arthur C. Clarke",1897
"Pretty Little Liars (Pretty Little Liars, #1)",Sara Shepard,2006
Corduroy,Don Freeman,1948
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,2006
Life After Life,Kate Atkinson,2013
The Rescue,Nicholas Sparks,2000
Needful Things,Stephen King,1991
"Voyager (Outlander, #3)",Diana Gabaldon,1993
"Hamlet: Screenplay, Introduction And Film Diary","Kenneth Branagh, William Shakespeare",1996
Cujo,Stephen King,1981
The Virgin Suicides,Jeffrey Eugenides,1993
"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,2004
Tess of the D'Urbervilles,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",1891
Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1856
The Phantom Tollbooth,"Norton Juster, Jules Feiffer",1961
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,2010
"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,2003
It's Kind of a Funny Story,Ned Vizzini,2006
"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,2007
"After You (Me Before You, #2)",Jojo Moyes,2015
The Language of Flowers,Vanessa Diffenbaugh,2011
"Batman: The Dark Knight Returns (The Dark Knight Saga, #1)","Frank Miller, Klaus Janson, Lynn Varley",1986
"The Angel Experiment (Maximum Ride, #1)",James Patterson,2005
High Fidelity,Nick Hornby,1995
The Guardian,Nicholas Sparks,2003
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,2003
"Men Are from Mars, Women Are from Venus",John Gray,1998
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,2000
Timeline,Michael Crichton,1999
Candide,Voltaire,1759
Tuck Everlasting,Natalie Babbitt,1975
Christine,"Stephen King, Marie Milpois",1983
Are You My Mother?,P.D. Eastman,1960
The Story of Art,E.H. Gombrich,1950
"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,2013
"Rich Dad, Poor Dad",Robert T. Kiyosaki,1997
"Silence (Hush, Hush, #3)",Becca Fitzpatrick,2011
The Magicians (The Magicians #1),Lev Grossman,2009
"Death Note, Vol. 1: Boredom (Death Note, #1)","Tsugumi Ohba, Takeshi Obata",2004
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,2003
Everything Is Illuminated,Jonathan Safran Foer,2002
"The Bourne Supremacy (Jason Bourne, #2)",Robert Ludlum,1986
"Easy (Contours of the Heart, #1)",Tammara Webber,2012
David Copperfield,"Charles Dickens, Jeremy Tambling",1849
The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",2007
The Master and Margarita,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",1967
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,1968
Because of Winn-Dixie,"Kate DiCamillo, Chris Sheban",2000
A Separate Peace,John Knowles,1959
The Rainmaker,John Grisham,1995
Don Quixote,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",1605
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,1995
"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",Douglas Adams,1980
"Torment (Fallen, #2)",Lauren Kate,2010
The Tale of Peter Rabbit,Beatrix Potter,1901
"The Silver Chair (Chronicles of Narnia, #4)","C.S. Lewis, Pauline Baynes",1953
"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,2008
"Girl, Interrupted",Susanna Kaysen,1993
"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,2007
Jonathan Livingston Seagull,"Richard Bach, Russell Munson",1970
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,2014
Love You Forever,"Robert Munsch, Sheila McGraw",1986
Cell,Stephen King,2006
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,2013
The Silmarillion (Middle-Earth Universe),"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",1977
"The Drawing of the Three (The Dark Tower, #2)",Stephen King,1987
The Forgotten Garden,Kate Morton,2008
The Trial,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",1925
This Lullaby,Sarah Dessen,2002
Plain Truth,Jodi Picoult,2000
Orange Is the New Black,Piper Kerman,2010
The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",1902
"Thinking, Fast and Slow",Daniel Kahneman,2011
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,1982
"Are You There God? It's Me, Margaret",Judy Blume,1970
Nights in Rodanthe,Nicholas Sparks,2002
"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,2014
"All Together Dead (Sookie Stackhouse, #7)",Charlaine Harris,2007
Midwives,Chris Bohjalian,1997
The Polar Express,Chris Van Allsburg,1985
The True Story of the 3 Little Pigs,"Jon Scieszka, Lane Smith",1989
"Patriot Games (Jack Ryan Universe, #2)",Tom Clancy,1987
Veronika Decides to Die,"Paulo Coelho, Margaret Jull Costa",1998
"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg, Nell Scovell",2013
"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,2005
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,2011
Starship Troopers,Robert A. Heinlein,1959
I've Got Your Number,Sophie Kinsella,2011
Sophie's World,"Jostein Gaarder, Paulette Møller",1991
"The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #4)",Mark Cotta Vaz,2011
The Martian Chronicles,Ray Bradbury,1950
A Visit from the Goon Squad,Jennifer Egan,2010
Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",1880
Prey,Michael Crichton,2002
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,1956
"World Without End (The Kingsbridge Series, #2)",Ken Follett,2007
"Chosen (House of Night, #3)","P.C. Cast, Kristin Cast",2008
"Slammed (Slammed, #1)",Colleen Hoover,2012
"Beastly (Beastly, #1; Kendra Chronicles, #1)",Alex Flinn,2007
The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill",1390
Baby Proof,Emily Giffin,2006
"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,2011
1Q84,"Haruki Murakami, Jay Rubin, Philip Gabriel",2009
Uncle Tom's Cabin,Harriet Beecher Stowe,1852
The Phantom of the Opera,"Gaston Leroux, Alexander Teixeira de Mattos",1909
"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,2006
Blindness,"José Saramago, Giovanni Pontiero",1995
Freedom,Jonathan Franzen,2010
"Crossed (Matched, #2)",Ally Condie,2011
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,2006
The White Tiger,Aravind Adiga,2008
The Corrections,Jonathan Franzen,2001
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,1995
Congo,Michael Crichton,1980
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",1972
Interpreter of Maladies,Jhumpa Lahiri,1999
A People's History of the United States,Howard Zinn,1980
Breakfast at Tiffany's,Truman Capote,1958
"The Passage (The Passage, #1)",Justin Cronin,2010
Anansi Boys,Neil Gaiman,2005
Along for the Ride,Sarah Dessen,2009
Everything I Never Told You,Celeste Ng,2014
The House of the Spirits,"Isabel Allende, Magda Bogin",1982
The Dead Zone,Stephen King,1979
"The Mysterious Affair at Styles (Hercule Poirot, #1)","Agatha Christie, Ροζίτα Σώκου",1920
